playlist_genre,track_artist,track_href,uri,track_album_name,analysis_url,track_id,track_name,track_album_release_date,track_album_id,duration_ms,id
hip-hop,Lil Uzi Vert,https://api.spotify.com/v1/tracks/4ppKM7xnkSAwSyKqD4QTY4,spotify:track:4ppKM7xnkSAwSyKqD4QTY4,Eternal Atake 2,https://api.spotify.com/v1/audio-analysis/4ppKM7xnkSAwSyKqD4QTY4,4ppKM7xnkSAwSyKqD4QTY4,Chill Bae,01-11-2024,7awBKnBq0qRLNyD5lI47R0,138324,4ppKM7xnkSAwSyKqD4QTY4
hip-hop,Lil Tecca,https://api.spotify.com/v1/tracks/4guBZjUyrGoHsTahO3IHdj,spotify:track:4guBZjUyrGoHsTahO3IHdj,We Love You Tecca,https://api.spotify.com/v1/audio-analysis/4guBZjUyrGoHsTahO3IHdj,4guBZjUyrGoHsTahO3IHdj,Did It Again,30-08-2019,1I6FpscJIfwf4T56VxGVsB,116240,4guBZjUyrGoHsTahO3IHdj
hip-hop,"Diplo, Trippie Redd",https://api.spotify.com/v1/tracks/0c0YHn3DIQLl1opsQDd9kO,spotify:track:0c0YHn3DIQLl1opsQDd9kO,LIFE'S A TRIP,https://api.spotify.com/v1/audio-analysis/0c0YHn3DIQLl1opsQDd9kO,0c0YHn3DIQLl1opsQDd9kO,Wish (feat. Trippie Redd) - Trippie Mix,10-08-2018,13rZDYWdAeJumf6UYYBdcL,176874,0c0YHn3DIQLl1opsQDd9kO
hip-hop,Lil Skies,https://api.spotify.com/v1/tracks/7oJrVhiTPZGBXWPwhxjy9S,spotify:track:7oJrVhiTPZGBXWPwhxjy9S,Life of a Dark Rose,https://api.spotify.com/v1/audio-analysis/7oJrVhiTPZGBXWPwhxjy9S,7oJrVhiTPZGBXWPwhxjy9S,Lust,12-12-2017,0CuYNS755Ow710G2E7aLDE,156000,7oJrVhiTPZGBXWPwhxjy9S
hip-hop,"Post Malone, Young Thug",https://api.spotify.com/v1/tracks/0t3ZvGKlmYmVsDzBJAXK8C,spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,Hollywood's Bleeding,https://api.spotify.com/v1/audio-analysis/0t3ZvGKlmYmVsDzBJAXK8C,0t3ZvGKlmYmVsDzBJAXK8C,Goodbyes (feat. Young Thug),06-09-2019,4g1ZRSobMefqF6nelkgibi,174853,0t3ZvGKlmYmVsDzBJAXK8C
hip-hop,Polo G,https://api.spotify.com/v1/tracks/1VLtjHwRWOVJiE5Py7JxoQ,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,THE GOAT,https://api.spotify.com/v1/audio-analysis/1VLtjHwRWOVJiE5Py7JxoQ,1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,15-05-2020,39xhYyNNDatQtgKw2KdXMz,132833,1VLtjHwRWOVJiE5Py7JxoQ
hip-hop,"Lil Baby, Gunna",https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,spotify:track:78QR3Wp35dqAhFEc2qAGjE,Drip Harder,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),05-10-2018,2yXnY2NiaZk9QiJJittS81,145543,78QR3Wp35dqAhFEc2qAGjE
hip-hop,Lil Tjay,https://api.spotify.com/v1/tracks/0RLLvYBopDwooCyvnTwgYu,spotify:track:0RLLvYBopDwooCyvnTwgYu,True 2 Myself,https://api.spotify.com/v1/audio-analysis/0RLLvYBopDwooCyvnTwgYu,0RLLvYBopDwooCyvnTwgYu,F.N,11-10-2019,1bCBZ8LedqwVYOLDLrRbbY,224000,0RLLvYBopDwooCyvnTwgYu
hip-hop,Juice WRLD,https://api.spotify.com/v1/tracks/3oDkdAySo1VQQG0ptV7uwa,spotify:track:3oDkdAySo1VQQG0ptV7uwa,Goodbye & Good Riddance,https://api.spotify.com/v1/audio-analysis/3oDkdAySo1VQQG0ptV7uwa,3oDkdAySo1VQQG0ptV7uwa,Lean Wit Me,10-12-2018,6tkjU4Umpo79wwkgPMV3nZ,175755,3oDkdAySo1VQQG0ptV7uwa
hip-hop,Lil Uzi Vert,https://api.spotify.com/v1/tracks/1gUUuh7FQ3mr7nEq0SRvGX,spotify:track:1gUUuh7FQ3mr7nEq0SRvGX,Eternal Atake 2,https://api.spotify.com/v1/audio-analysis/1gUUuh7FQ3mr7nEq0SRvGX,1gUUuh7FQ3mr7nEq0SRvGX,Conceited,01-11-2024,7awBKnBq0qRLNyD5lI47R0,189487,1gUUuh7FQ3mr7nEq0SRvGX
hip-hop,"Lil Tecca, Juice WRLD",https://api.spotify.com/v1/tracks/2WsuSYJNXGKXVYkHPnq2yp,spotify:track:2WsuSYJNXGKXVYkHPnq2yp,We Love You Tecca,https://api.spotify.com/v1/audio-analysis/2WsuSYJNXGKXVYkHPnq2yp,2WsuSYJNXGKXVYkHPnq2yp,Ransom (with Juice WRLD) - Remix,30-08-2019,1I6FpscJIfwf4T56VxGVsB,171253,2WsuSYJNXGKXVYkHPnq2yp
hip-hop,"Post Malone, Ozzy Osbourne, Travis Scott",https://api.spotify.com/v1/tracks/7CZyCXKG6d5ALeq41sLzbw,spotify:track:7CZyCXKG6d5ALeq41sLzbw,Hollywood's Bleeding,https://api.spotify.com/v1/audio-analysis/7CZyCXKG6d5ALeq41sLzbw,7CZyCXKG6d5ALeq41sLzbw,Take What You Want (feat. Ozzy Osbourne & Travis Scott),06-09-2019,4g1ZRSobMefqF6nelkgibi,229573,7CZyCXKG6d5ALeq41sLzbw
hip-hop,"Lil Peep, Lil Tracy",https://api.spotify.com/v1/tracks/57NsyEzmk0NT3NcOwuQT55,spotify:track:57NsyEzmk0NT3NcOwuQT55,CASTLES II,https://api.spotify.com/v1/audio-analysis/57NsyEzmk0NT3NcOwuQT55,57NsyEzmk0NT3NcOwuQT55,witchblades,07-02-2017,3XoCzKMQ3rOk06y6u0GWCZ,149360,57NsyEzmk0NT3NcOwuQT55
hip-hop,"Mustard, Roddy Ricch",https://api.spotify.com/v1/tracks/3QzAOrNlsabgbMwlZt7TAY,spotify:track:3QzAOrNlsabgbMwlZt7TAY,Perfect Ten,https://api.spotify.com/v1/audio-analysis/3QzAOrNlsabgbMwlZt7TAY,3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),28-06-2019,2WrNHOba5u6P9S9xEboaUy,180435,3QzAOrNlsabgbMwlZt7TAY
hip-hop,YNW Melly,https://api.spotify.com/v1/tracks/1iSqfoUFnQwV0QW1EfUit8,spotify:track:1iSqfoUFnQwV0QW1EfUit8,Melly vs. Melvin,https://api.spotify.com/v1/audio-analysis/1iSqfoUFnQwV0QW1EfUit8,1iSqfoUFnQwV0QW1EfUit8,Suicidal,22-11-2019,5xq6RMHNIBA73qld03dR6V,222997,1iSqfoUFnQwV0QW1EfUit8
hip-hop,Juice WRLD,https://api.spotify.com/v1/tracks/0flSGzqHO12p9fU9kqaHGE,spotify:track:0flSGzqHO12p9fU9kqaHGE,Death Race For Love (Bonus Track Version),https://api.spotify.com/v1/audio-analysis/0flSGzqHO12p9fU9kqaHGE,0flSGzqHO12p9fU9kqaHGE,Flaws And Sins,08-03-2019,1btu0SV2DOI5HoFsvUd78F,218349,0flSGzqHO12p9fU9kqaHGE
hip-hop,Lil Uzi Vert,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,spotify:track:7GX5flRQZVHRAGd6B4TmDO,Luv Is Rage 2,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO,7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,25-08-2017,733e1ZfktLSwj96X5rsMeE,182707,7GX5flRQZVHRAGd6B4TmDO
hip-hop,Lil Tecca,https://api.spotify.com/v1/tracks/00n83h3zn2IrySO4Q4aTrG,spotify:track:00n83h3zn2IrySO4Q4aTrG,TEC (Bonus),https://api.spotify.com/v1/audio-analysis/00n83h3zn2IrySO4Q4aTrG,00n83h3zn2IrySO4Q4aTrG,Down With Me,19-01-2024,0pVQ3KO4jjqdeWJUrrkkWp,120035,00n83h3zn2IrySO4Q4aTrG
